Term,Definition
Abandonment*,The percentage of AAC users that stop using the device after a certain time period. Opposite of adoption
Access Barriers,"Associated to capabilities, attitudes, and resource limitations of potential AAC users themselves."
Access Method,
Access Modality,"The form of AAC device most suited to an individual: Touch, eye gaze, headset"
Accessibility,The design of products or features to be usable for people with various disabilities
Accommodation*,
Acquired,Referring to a disease or condition not present from birth
Activities of Daily Living (ADLs),"Fundamental skills required to independently care for oneself including: ambulation (movement), feeding, dressing, personal hygiene, continence (bowel and bladder control) and toileting (use of toilet). More advanced ADLs include transportation and shopping, financial management, housecleaning, meal preparation, communication and managing medications"
Adaptation,"The change by which an organism or object becomes more suited to its environment, use or purpose"
Adequate Yearly Progress,The legal guideline for academic student progression measured by standardized tests in elementary school and graduation rate in high school
Adolescent,"Lucas I need the medical timeframe for this, you gave me a different definition than the web: A person in the process of developing from a child to an adult"
Adoption*,The percentage of AAC users that continue to use the device after a certain period of time. Opposite of abandonment
Aided Communication,Non-verbal or technology assisted verbal communication varying from writing with a pencil to brain computer interfacing through augmented reality
Aided Language Input,The use of AAC devices by individuals without special communication needs in order to teach language and the use of AAC devices to individuals reliant on the device for communication
Aided Language Modeling,
Aided Language Stimulation,A language stimulation approach in which the facilitator points out picture symbols on the child's communication display in conjunction with all ongoing language stimulation. It is a pairing of verbal and symbol use by the facilitator. Through the modeling process the concept of using the pictorial symbols interactively is demonstrated for the individual.
Alpha-Numeric Encoding,A method of encoding in which both letters and numbers can be used to increase rate of communication. The letters can be used to specifiy a category and the number used to specify an individual message within the category.
Alpha-Synuclein,"A protein most commonly found in the brain, of unknown function, encoded by the SNCA gene, and capable of aggregating into Lewy bodies which contribute to Parkinson's and MSA"
Alphabet,
Alphabet Board*,This procedure requires the speaker to point to the first letter of each word as it is spoken. It forces speakers to slow their speaking rate and provides communication partners with extra information in the form of the first letters of words.
Applied Behavior Analysis (ABA),Therapy based on the science of learning and behavior to reinforce good behaviors and decrease bad behaviors with consequences and antecedents
Apraxia,Inability to perform skilled movements and gestures despite having the physical capabilities and mental inclination
Asphyxia,"Condition when the body is deprived of Oxygen, often resulting in unconsciousness and/or death. An example of Asphyxia is choking"
Assessment*,
Atresia Choanae,A congenital condition referring to the abnormal narrowing (atresia) of the nasal passage (choana)
Atrophy,The wasting away of bodily tissue or organs due to the degeneration of cells caused by a lack of use or disorder
Auditory Feedback,
Auditory Prompts,The audible indication of word or letter through an AAC device before the speaker's word choice is finalized. This is allows a user to select their intended word based on an auditory signal as opposed to only a visual selection.
Augmentative and Alternative Communication (AAC),An area of clinical practice that attempts to compensate either temporarily or permanently for the impairment and disability patterns of individuals with severe and expressive communication disorders.
Autoimmune,A disease in which the body's own immune system attacks its own healthy cells
Autosomal Dominant,A pattern of inheritance linked to non-sex chromosomes that requires only one abnormal gene to express the abnormal phenotype
Autosomal Recessive,A pattern of inheritance linked to non-sex chromosomes that requires two abnormal genes to express the abnormal phenotype
Behavior Supports,Reinforcing positive behaviors and breaking bad habits often through identifying the source or purpose of the behavior and eliminating it
Behavior*,
Bloom's Taxonomy,"Classification of learning objectives into cognitive (knowledge-based), affective (emotion-based) and psychomotor (action-based) in order to construct educational curriculum, often focused on the cognitive objectives which include: knowledge, comprehension, application, analysis, synthesis and evaluation."
Board Certified Behavior Analyst (BCBA),"Healthcare professionals that study behavior and make plans to improve the actions and behaviors of individuals with developmental disabilities, brain injuries or other social issues."
Bulbar,"Of or related to a bodily bulb (rounded dilation or expansion of a canal, vessel or organ) especially the medulla oblongata (continuation of the spine into the base of the skull)"
Button*,
Cell*,Interactive frame within a dynamic communication display
Cerebellar,Relating to the part of the brain that coordinates muscular activity
Chromosome,Structure of tightly wound DNA containing genetic information and found in every eukaryotic cell
Chronofencing,"Online alerts based on the context provided by time. For example, the linked-in page of someone you are interviewing in 15 minutes is suggested to you. Chronofencing provides alerts not of events, but potentially beneficial ads or suggestions from the context of timing of other events you had planned or actions you are completing."
Cilia,"A Microscopic, hair-like vibrating structure used for propulsion in certain cells"
Cleft,A V-shaped indented formation or hollow between protuberances sometimes used to describe parts of the body
Coded Access,"The use of a ""battleship-like"" board with numbers or letters on one axis and colors on the other axis. The indication of a number or letter and color results in the choice of a square on the board which contains a word or phrase. This can be used to ease cognitive requirements for AAC devices."
Cognition,"The mental action of acquiring knowledge and understanding through thought, experience and the senses"
Coloboma,"A congenital malformation of the eye which takes form as a hole in the retina, iris or lens. Its affect can range from none to only the ability to distinguish light from dark. Appears as if the pupil is ""leaking"" down to the bottom of the eye."
