Name,Notes
Epilepsy,The condition of being subject to any frequency of seizures. Plural: epilepsies.
Pathology,"The study of a condition's cause, processes, development, and consequence(s)."
Pathophysiology,"A fancier version of pathology that pathologists use when they know a condition has a discrete biologic origin (as opposed to pathophobic, pathopsychologic)"
Ideopathic,"A condition with no known biological origin; in recent years when we find something ideopathic with a uniquely identifiable genetic sequence we call that a ""de novo"" (brand new) mutation. So SARS-COV-2 (COVID-19) is genetically de novo, pathologic in its transmission, pathophysiological in its impact on cytokenes, and remains ideopathic in certain symptom manifestations. "
Grand Mal / Petit Mal,"Yeah we don't really use those terms anymore; part of a broader movement to not term physiological conditions as having a value judgment attached, which ""little bad"" and ""big bad"" definitely do. We have two main groups now."
Type 1: Generalized Seizures,"Characterized by involvement of all parts of the brain. There are two subtypes: 

Absence seizures (ex-""petit mal""), which are generally considered safe unless they extend beyond five minutes due to a risk of hypoxic brain injury. (hypo = low, oxic = oxygen)

Tonic-clonic seizures (ex-""grand mal""), which can have effects ranging from uninterpretable vocalizing to loss of consciousness to loss of balance, muscle jerks, and global muscular spasms. These are dangerous, not least of which for onlookers, but particularly for someone who may be - you know - strapped into a headset."
Type 2: Focal Seizures,"Seizures located in just one part of the brain, also ""partial seizures,"" broken into three categories:

Simple focal seizures have a small area of effect; the result can be a twitch, a change in sensation, etc.

Complex focal seizures impact multiple areas and tend to leave individuals dazed for a period of time (Rancho Level 5, for you clinical nerds out there)

Secondary generalized seizures begin as one of the above and then progress to impact the entire brain. This type of seizure is, in fact, our greatest concern when we are providing stimulus to the optical nerve. Which brings us to:"
Brain-Computer Interface (BCI),"BCI - or the type we're building, anyway - uses evoked potentials, which can be summed up as a highly distinct or unusual input to the sensory apparatus. We are using evoked potentials that target the occipital cortex via the optic nerve for a variety of reasons. These go by a variety of terms in the literature, but most formally they are:"
Steady-State Evoked Potentials (SSVEPs),"As opposed to just a visual evoked potential (VEP), which does not have as long-lasting an effect on a user's distinctive brain signal, steady-state evoked potentials flash at a consistent rate - picture waves crashing on a shore, but in this case the waves are peaks and troughs in the signal coming from your occipital nerve. Because the signal generated by each SSVEP is measurably different, we can use electroencephalography (EEG - literally translated to ""zap brain to map it"") and - given the right signal to noise ratio, which is where good hardware and algorithms come in - infer their thoughts across a theoretically infinite number of axes if we had no constraints with finances or cranial real estate."
Photosensitive Epilepsy,"Fortunately, only about 3% of people with an epilepsy diagnosis are triggered by flashing lights - and only at specific intensities, frequencies, or visual patterns. Research indicates it is more common in juveniles, particularly juvenile myoclonic (twitching) seizures and even more particularly when that twitching is centralized around their eyelid (Jeavon's syndrome). "
