Name,Assign,Status
Deep Dive: Photosensitive Epilepsy,Lucas Steuber,Delivered
Addressable Populations Clinical Tables,Lucas Steuber,Delivered
Addressable Populations Submission Form,Lucas Steuber,Canceled
Quick Reference Text Content,Lucas Steuber,Canceled
User Personas and Use Cases,Lucas Steuber,Ongoing Updates
Bibliography,Lucas Steuber,Ongoing Updates
Clinical Acceptance Criterion Writeup,Lucas Steuber,Delivered
Internal Invitations,Lucas Steuber,Delivered
Unaddressed Populations Table,Lucas Steuber,Ongoing Updates
Glossary,Lucas Steuber,Ongoing Updates
Language System Writeup,,Ongoing Updates
Acceptance Criterion: Executive Summary,Lucas Steuber,Delivered
Deep Dive: Allergies and Dermal Concerns,Lucas Steuber,Delivered
Quick Reference Table,Lucas Steuber,Delivered
Persona Text Content,Lucas Steuber,Delivered
Deep Dive: Visual Comorbidities,Lucas Steuber,Delivered
Deep Dive: Motor Impairments and Fatigue,Lucas Steuber,Delivered
Guiding Principles,Lucas Steuber,Canceled
Deep Dive: Structural and Orthopedic Comorbidities,Lucas Steuber,Delivered
Market Sizing,Lucas Steuber,Delivered
Strategic Financials,Lucas Steuber,Delivered
Market Data Vis,Lucas Steuber,Delivered
Migration to Internal Resource,,In progress
