Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
Augmentative and alternative communication for speaking autistic adults: Overview and recommendations,https://www.liebertpub.com/doi/abs/10.1089/AUT.2018.0007,10.1089/aut.2018.0007,True,Augmentative and alternative communication for speaking autistic adults_ Overview and recommendations.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Autism in Adulthood,True,Scholar,Alyssa Hillary Zisk and Elizabeth Dalton
Brain–computer interfaces for augmentative and alternative communication: A tutorial,https://pubs.asha.org/doi/abs/10.1044/2017_AJSLP-16-0244,10.1044/2017_ajslp-16-0244,True,,2018,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",American Journal of Speech-Language Pathology,False,,Jonathan S. Brumberg and Kevin M. Pitt and Alana Mantie-Kozlowski and Jeremy D. Burnison
Augmentative and alternative communication (AAC) advances: A review of configurations for individuals with a speech disability,https://www.mdpi.com/450026,10.3390/s19081911,True,,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Sensors,False,,Yasmin Elsahar and Sijung Hu and Kaddour Bouazza-Marouf and David Kerr and Annysa Mansor
Deep neural network-based speaker-aware information logging for augmentative and alternative communication,http://ojs.istp-press.com/jait/article/view/20,10.37965/jait.2021.0017,True,Deep neural network-based speaker-aware information logging for augmentative and alternative communication.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Special Issue: Blockchain and Artificial Intelligence Applications,True,Scholar,Gang Hu and Szu-Han Kay Chen and Neal Mazur
… of interventions that include aided augmentative and alternative communication input on the communication of individuals with complex communication needs: A meta …,https://pubs.asha.org/doi/abs/10.1044/2018_JSLHR-L-17-0132,10.1044/2018_jslhr-l-17-0132,True,,2018,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018","Journal of Speech, Language, and Hearing Research",False,,Tara O{\textquotesingle}Neill and Janice Light and Lauramarie Pope
Revisiting the role of augmentative and alternative communication in aphasia rehabilitation,https://pubs.asha.org/doi/abs/10.1044/2019_AJSLP-19-00041,10.1044/2019_ajslp-19-00041,True,,2020,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",American Journal of Speech-Language Pathology,False,,Aimee Dietz and Sarah E. Wallace and Kristy Weissling
English language teaching based on big data analytics in augmentative and alternative communication system,https://link.springer.com/article/10.1007/s10772-022-09960-1,10.1007/s10772-022-09960-1,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",International Journal of Speech Technology,False,,Ran Qian and Sudhakar Sengan and Sapna Juneja
Rethinking family (dis) engagement with augmentative & alternative communication,https://nasenjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1471-3802.12510,10.1111/1471-3802.12510,True,,2021,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Journal of Research in Special Educational Needs,False,,Lauran Doak
Update on preservice training in augmentative and alternative communication for speech-language pathologists,https://pubs.asha.org/doi/abs/10.1044/2018_AJSLP-18-0004,10.1044/2018_ajslp-18-0004,True,,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",American Journal of Speech-Language Pathology,False,,Rachel K. Johnson and Jessica Prebor
Conversational agency in augmentative and alternative communication,https://dl.acm.org/doi/abs/10.1145/3313831.3376376,10.1145/3313831.3376376,True,Conversational agency in augmentative and alternative communication.pdf,2020,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",{ACM},True,Scholar,Stephanie Valencia and Amy Pavel and Jared Santa Maria and Seunga (Gloria) Yu and Jeffrey P. Bigham and Henny Admoni
Augmentative and alternative communication in children with Down's syndrome: a systematic review,https://link.springer.com/article/10.1186/s12887-018-1144-5,,False,Augmentative and alternative communication in children with Down_s syndrome_ a systematic review.pdf,2018,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",,True,SciHub,
Augmentative and alternative communication and speech production for individuals with ASD: A systematic review,https://link.springer.com/article/10.1007/s10803-021-04868-2,10.1007/s10803-021-04868-2,True,,2021,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Journal of Autism and Developmental Disorders,False,,Emily N. White and Kevin M. Ayres and Sara K. Snyder and Rachel R. Cagliani and Jennifer R. Ledford
A systematic review on voiceless patients' willingness to adopt high-technology augmentative and alternative communication in intensive care units,https://www.sciencedirect.com/science/article/pii/S0964339720301518,10.1016/j.iccn.2020.102948,True,,2021,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Intensive and Critical Care Nursing,False,,Xin-Xing Ju and Jie Yang and Xiao-Xin Liu
Studies Comparing Augmentative and Alternative Communication Systems (AAC) Applications for Individuals with Autism Spectrum Disorder,https://www.jstor.org/stable/27077906,10.46328/ijte.396,True,Studies Comparing Augmentative and Alternative Communication Systems _AAC_ Applications for Individuals with Autism Spectrum Disorder.pdf,2023,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",International Journal of Technology in Education,True,Scholar,Hamza Polat and Omer Delialioglu
Healthcare professionals' use of augmentative and alternative communication in an intensive care unit: A survey study,https://www.sciencedirect.com/science/article/pii/S0964339718303653,10.1016/j.iccn.2019.04.002,True,Healthcare professionals_ use of augmentative and alternative communication in an intensive care unit_ A survey study.pdf,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Intensive and Critical Care Nursing,True,Scholar,Sara Jansson and Tomas Rivera San Martin and Ensa Johnson and Stefan Nilsson
Augmentative and Alternative Communication in the Classroom: Teacher Practices and Experiences,https://pubs.asha.org/doi/abs/10.1044/2022_LSHSS-21-00125,10.1044/2022_lshss-21-00125,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018","Language, Speech, and Hearing Services in Schools",False,,Elizabeth M. Leatherman and Jane R. Wegner
Ecological design of an augmentative and alternative communication device interface,https://journals.sagepub.com/doi/pdf/10.1177/15553434211029530,10.1177/15553434221078215,True,,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Journal of Cognitive Engineering and Decision Making,False,,Kaela Shea and Olivier St-Cyr and Tom Chau
A scoping review of the involvement of children's communication partners in aided augmentative and alternative communication modeling interventions,https://pubs.asha.org/doi/abs/10.1044/2018_AJSLP-18-0024,10.1044/2018_ajslp-18-0024,True,,2019,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",American Journal of Speech-Language Pathology,False,,Elizabeth E. Biggs and Erik W. Carter and Carly B. Gilson
Augmentative and alternative communication for children with intellectual and developmental disability: A mega-review of the literature,https://link.springer.com/article/10.1007/s10882-021-09790-0,10.1007/s10882-021-09790-0,True,,2021,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Journal of Developmental and Physical Disabilities,False,,Becky Crowe and Wendy Machalicek and Qi Wei and Christine Drew and Jay Ganz
The perspectives of augmentative and alternative communication experts on the clinical integration of non-invasive brain-computer interfaces,https://www.tandfonline.com/doi/abs/10.1080/2326263X.2022.2057758,10.1080/2326263x.2022.2057758,True,The perspectives of augmentative and alternative communication experts on the clinical integration of non-invasive brain-computer interfaces.pdf,2022,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Brain-Computer Interfaces,True,Scholar,Kevin M. Pitt and Miechelle McKelvey and Kristy Weissling
Human–computer interaction based visual feedback system for augmentative and alternative communication,https://link.springer.com/article/10.1007/s10772-021-09901-4,10.1007/s10772-021-09901-4,True,,2021,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",International Journal of Speech Technology,False,,Yubin~Liu and C. B. Sivaparthipan and Achyut Shankar
Effectiveness of different types of Augmentative and Alternative Communication (AAC) in improving communication skills and in enhancing the vocabulary of children …,https://link.springer.com/article/10.1007/s40489-021-00269-4,10.1007/s40489-021-00269-4,True,Effectiveness of different types of Augmentative and Alternative Communication _AAC_ in improving communication skills and in enhancing the vocabulary of children__.pdf,2021,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",Review Journal of Autism and Developmental Disorders,True,Scholar,Christine K. Syriopoulou-Delli and Gkiolnta Eleni
Comparing interventions with speech-generating devices and other augmentative and alternative communication modes: a meta-analysis,https://pubs.asha.org/doi/abs/10.1044/2022_AJSLP-22-00220,10.1044/2022_ajslp-22-00220,True,,2023,"https://scholar.google.com/scholar?hl=en&q=augmentative and alternative communication&as_vis=1&as_sdt=1,5&start=%d&as_ylo=2018",American Journal of Speech-Language Pathology,False,,Natalie S. Pak and Kathryn M. Bailey and Jennifer R. Ledford and Ann P. Kaiser
